full_name,gender,classification_method,role,total_mentions,mentions_openai,mentions_anthropic,mentions_perplexity,mentions_gemini,mentions_by_category,first_mention_context
Chris Wysopal,M,llm-high,founder_ceo,34,14,0,20,0,"{""cybersecurity"": 21, ""ICT"": 13}","Chris Wysopal - A co-founder of Veracode, Wysopal has been instrumental in advancing software security and vulnerability management."
Sherri Davidoff,F,gender-guesser,founder_ceo,4,4,0,0,0,"{""cybersecurity"": 4}","Sherri Davidoff - CEO of LMG Security, Davidoff is a recognized expert in digital forensics and cyber risk management."
Troy Hunt,M,gender-guesser,founder_ceo,152,35,32,24,61,"{""cybersecurity"": 138, ""ICT"": 5, ""cloud and infrastructure"": 7, ""software engineering"": 1, ""networking and telecommunications"": 1}","Troy Hunt: A cybersecurity expert known for creating ""Have I Been Pwned?"", a website that allows users to check if their data has been compromised."
Edward Snowden,M,gender-guesser,other,7,1,1,0,5,"{""cybersecurity"": 6, ""ICT"": 1}","Edward Snowden: While controversial, Snowden's revelations about government surveillance practices have had a significant impact on cybersecurity discussions."
Theresa Payton,F,gender-guesser,founder_ceo,28,10,2,8,8,"{""cybersecurity"": 28}",Theresa Payton - The first female Chief Information Officer at the White House and a leading expert in cybersecurity with a focus on identity theft.
Alex Stamos,M,gender-guesser,academic,63,12,32,0,19,"{""cybersecurity"": 63}","Alex Stamos - Former Chief Security Officer at Facebook, now a security researcher and professor at Stanford University, known for his work on election security."
Jayson E. Street,M,gender-guesser,practitioner,5,4,1,0,0,"{""cybersecurity"": 5}","Jayson E. Street - A well-known security consultant and speaker, he is recognized for his expertise in penetration testing and social engineering."
Nicole Perlroth,F,gender-guesser,journalist,39,14,3,14,8,"{""cybersecurity"": 39}",Nicole Perlroth - A cybersecurity journalist and author who has covered cyber warfare and security for The New York Times
Shannon Morse,F,llm-high,journalist,5,5,0,0,0,"{""cybersecurity"": 5}","Shannon Morse - A technology journalist and host of ""ThreatWire,"" Morse covers a broad range of cybersecurity topics"
Graham Cluley,M,gender-guesser,analyst,41,4,1,36,0,"{""cybersecurity"": 41}","Graham Cluley - An independent cybersecurity analyst who writes about computer security news, advice, and opinions."
Steve Gibson,M,gender-guesser,influencer,3,3,0,0,0,"{""cybersecurity"": 3}","Security Now! - Hosted by Steve Gibson and Leo Laporte, covers security issues in depth."
Leo Laporte,M,gender-guesser,influencer,3,3,0,0,0,"{""cybersecurity"": 3}","Security Now! - Hosted by Steve Gibson and Leo Laporte, covers security issues in depth."
Kim Zetter,F,llm-high,journalist,35,1,6,4,24,"{""cybersecurity"": 34, ""ICT"": 1}",Kim Zetter (@KimZetter): A journalist who covers cybersecurity and privacy issues.
Dan Goodin,M,gender-guesser,journalist,3,2,0,1,0,"{""cybersecurity"": 3}",Dan Goodin (@dangoodin001): Security editor at Ars Technica with in-depth coverage of cybersecurity topics.
Jack Rhysider,M,gender-guesser,journalist,2,1,0,0,1,"{""cybersecurity"": 2}","""Darknet Diaries"": Hosted by Jack Rhysider, this podcast delves into true stories from the dark side of the internet."
Lawrence Abrams,M,gender-guesser,founder_ceo,1,1,0,0,0,"{""cybersecurity"": 1}","Lawrence Abrams - Founder of Bleeping Computer, a website offering news, reviews, and analysis of cybersecurity threats and tools."
Bruce Potter,M,gender-guesser,founder_ceo,1,1,0,0,0,"{""cybersecurity"": 1}","Bruce Potter: A security researcher and speaker, Potter has written extensively on cybersecurity issues and is the founder of The Shmoo Group."
Richard Bejtlich,M,gender-guesser,vendor_exec,25,2,0,22,1,"{""cybersecurity"": 13, ""ICT"": 12}","A digital security expert and author, Bejtlich is known for his work on network security monitoring and incident response."
Marcus Hutchins,M,gender-guesser,practitioner,37,4,3,19,11,"{""cybersecurity"": 36, ""ICT"": 1}","Marcus Hutchins (MalwareTech): Known for halting the WannaCry ransomware attack, Hutchins is a security researcher who provides insights into malware."
Christopher Soghoian,M,gender-guesser,analyst,3,3,0,0,0,"{""cybersecurity"": 3}","Christopher Soghoian: A privacy researcher and advocate, Soghoian is known for his work on surveillance and privacy issues."
Bruce Sterling,M,gender-guesser,influencer,1,1,0,0,0,"{""cybersecurity"": 1}","Bruce Sterling: An author and futurist, Sterling often writes about technology and security, providing a broader cultural perspective."
Richard A. Clarke,M,gender-guesser,practitioner,9,2,0,0,7,"{""cybersecurity"": 9}","Richard A. Clarke - A former White House official and expert on security and counter-terrorism, Clarke has authored several books on cybersecurity and has been an influential voice in policy discussions."
Barton Gellman,M,gender-guesser,journalist,1,1,0,0,0,"{""cybersecurity"": 1}","Barton Gellman: An investigative journalist who has covered significant cybersecurity and surveillance stories, including the Snowden revelations."
Runa Sandvik,F,gender-guesser,founder_ceo,7,5,0,2,0,"{""cybersecurity"": 7}","Runa Sandvik: A prominent expert on digital security and privacy, particularly in the context of journalism and human rights."
Andrea Little Limbago,F,gender-guesser,analyst,2,2,0,0,0,"{""cybersecurity"": 2}","Andrea Little Limbago: A computational social scientist who writes and speaks on the intersection of cybersecurity, geopolitics, and data privacy."
Chris Valasek,M,llm-high,practitioner,4,3,0,0,1,"{""cybersecurity"": 4}","Charlie Miller and Chris Valasek - Known for their work in automotive security, particularly their remote hack of a Jeep Cherokee, which brought significant attention to vehicle cybersecurity."
Lorrie Faith Cranor,F,gender-guesser,academic,3,2,0,0,1,"{""cybersecurity"": 3}","Lorrie Faith Cranor - Known for her work in usable privacy and security, she has contributed extensively to understanding how humans interact with security technologies."
Wendy Nather,F,gender-guesser,analyst,26,3,3,0,20,"{""cybersecurity"": 19, ""cloud and infrastructure"": 7}","Wendy Nather - A well-respected cybersecurity analyst and speaker, she has contributed to improving security strategies across various organizations."
Michele Guel,F,gender-guesser,practitioner,2,2,0,0,0,"{""cybersecurity"": 2}","Michele Guel - A Distinguished Engineer at Cisco, she has played a crucial role in advancing cybersecurity practices within the company and the broader industry."
Joan Pepin,F,gender-guesser,founder_ceo,2,2,0,0,0,"{""cybersecurity"": 2}","Joan Pepin - A seasoned cybersecurity leader and entrepreneur, she has founded and led multiple successful startups in the security space."
Anne Neuberger,F,gender-guesser,practitioner,30,3,9,0,18,"{""cybersecurity"": 30}","Anne Neuberger - Serving in high-level positions within the U.S. government, she has been a key figure in national cybersecurity policy and strategy."
Mischel Kwon,M,gender-guesser,founder_ceo,2,2,0,0,0,"{""cybersecurity"": 2}","Mischel Kwon - Founder and CEO of MKACyber, she has extensive experience in building and managing Security Operations Centers (SOCs) and has worked with the U.S. Department of Justice."
Tarah Wheeler,F,gender-guesser,analyst,37,1,32,0,4,"{""cybersecurity"": 37}","Tarah Wheeler - A cybersecurity policy fellow at New America and author of ""Women in Tech,"" she has been influential in promoting diversity in tech and security fields."
Window Snyder,F,llm-high,practitioner,4,4,0,0,0,"{""cybersecurity"": 4}","Window Snyder - With a career spanning companies like Microsoft, Apple, and Mozilla, Snyder has been instrumental in developing security features. She has held roles such as Chief Security Officer at Square and Fastly."
Shira Rubinoff,F,gender-guesser,founder_ceo,24,1,0,23,0,"{""cybersecurity"": 24}","Shira Rubinoff - A recognized cybersecurity executive and influencer, Rubinoff has been involved in various initiatives to promote cybersecurity awareness and education."
Joan Clarke,F,gender-guesser,analyst,8,3,0,5,0,"{""cybersecurity"": 6, ""software engineering"": 2}","A cryptanalyst who worked at Bletchley Park during World War II, she played a vital role in breaking the Enigma code, a crucial contribution to the field of cryptography."
Caroline Wong,F,gender-guesser,vendor_exec,1,1,0,0,0,"{""cybersecurity"": 1}","A cybersecurity executive and educator, she has contributed significantly through her work in vulnerability management and security education."
Diana Kelley,F,gender-guesser,founder_ceo,1,1,0,0,0,"{""cybersecurity"": 1}","Diana Kelley - As a cybersecurity expert and co-founder of Security Curve, she has been influential in advising companies on security practices."
"Chenxi Wang, Ph.D.",F,llm-high,founder_ceo,12,1,8,0,3,"{""cybersecurity"": 12}","Chenxi Wang - Founder of the Jane Bond Project and a well-respected thought leader, Wang has contributed significantly to security research."
Lesley Carhart,unclassified,unclassified,practitioner,4,1,0,0,3,"{""cybersecurity"": 4}","Lesley Carhart - Known for her work in digital forensics and incident response, Carhart is a respected figure in the cybersecurity community."
Daniel Geer,M,gender-guesser,practitioner,29,1,8,0,20,"{""cybersecurity"": 29}","A cybersecurity expert and risk management specialist, Dan Geer has been influential in shaping security policies and practices."
Camille Stewart,unclassified,unclassified,practitioner,3,1,2,0,0,"{""cybersecurity"": 3}","Camille Stewart: Known for her work at the intersection of cybersecurity, policy, and technology, she has held various roles in government and private sectors focusing on security policy."
Heather Adkins,F,gender-guesser,practitioner,2,1,0,0,1,"{""cybersecurity"": 2}","As a founding member of the Google Security Team, Adkins has been instrumental in developing and implementing security measures that have protected millions of users worldwide."
Marc Rogers,M,gender-guesser,practitioner,2,2,0,0,0,"{""cybersecurity"": 2}","A veteran security researcher and hacker, Marc is the Head of Security at Cloudflare and a co-founder of DEFCON."
Rafal Los,M,gender-guesser,analyst,1,1,0,0,0,"{""cybersecurity"": 1}","A cybersecurity strategist and thought leader, Los is known for his work in enterprise security and his efforts to bridge the gap between business and security teams."
"Hinton, Geoffrey",M,llm-high,academic,426,75,127,67,157,"{""AI and machine learning"": 226, ""data and analytics"": 59, ""ICT"": 138, ""software engineering"": 3}","Geoffrey Hinton - Often referred to as one of the ""Godfathers of AI,"" he is known for his work on neural networks and deep learning."
"Bengio, Yoshua",M,llm-high,academic,311,40,75,50,146,"{""AI and machine learning"": 197, ""ICT"": 74, ""data and analytics"": 37, ""software engineering"": 3}","Yoshua Bengio - Another ""Godfather of AI,"" he is known for his work on deep learning and co-founding the Montreal Institute for Learning Algorithms (MILA)."
Ian Goodfellow,M,gender-guesser,academic,89,39,19,21,10,"{""AI and machine learning"": 88, ""data and analytics"": 1}","Ian Goodfellow - Known for inventing Generative Adversarial Networks (GANs), which have had a significant impact on generative models in AI."
Demis Hassabis,M,gender-guesser,founder_ceo,266,57,77,40,92,"{""AI and machine learning"": 201, ""ICT"": 58, ""data and analytics"": 7}","Demis Hassabis - Co-founder and CEO of DeepMind, known for developing AI systems that have mastered games like Go and protein folding."
Ruslan Salakhutdinov,M,gender-guesser,academic,11,3,0,8,0,"{""AI and machine learning"": 11}","Ruslan Salakhutdinov - A leader in the field of deep learning and AI research, he has contributed to advancements in unsupervised learning."
Dr. Daphne Koller,F,gender-guesser,founder_ceo,57,15,23,0,19,"{""AI and machine learning"": 39, ""data and analytics"": 15, ""ICT"": 3}",Daphne Koller - Co-founder of Coursera and a significant contributor to probabilistic graphical models and biomedical AI.
Pieter Abbeel,M,gender-guesser,academic,40,2,6,23,9,"{""AI and machine learning"": 40}","Pieter Abbeel - Known for his work in robotics and reinforcement learning, he is a professor at UC Berkeley and co-founder of several AI startups."
Stuart Russell,M,gender-guesser,academic,108,18,43,0,47,"{""AI and machine learning"": 107, ""data and analytics"": 1}","A leading AI researcher, Russell has contributed to the development of AI theory and its applications."
Pedro Domingos,M,gender-guesser,academic,12,11,1,0,0,"{""AI and machine learning"": 12}","Known for his work in machine learning and his book ""The Master Algorithm,"" Domingos has contributed to AI."
Zoubin Ghahramani,M,llm-high,academic,3,3,0,0,0,"{""AI and machine learning"": 3}","A notable figure in probabilistic machine learning, Ghahramani has made significant contributions and is a Professor at Cambridge."
Sebastian Thrun,M,gender-guesser,founder_ceo,12,8,4,0,0,"{""AI and machine learning"": 10, ""data and analytics"": 2}","Sebastian Thrun - Known for his work in autonomous vehicles and online education, Thrun has been a key figure in AI research and application."
Dr. Cynthia Rudin,F,gender-guesser,academic,38,23,4,8,3,"{""AI and machine learning"": 32, ""data and analytics"": 6}","Known for her work in interpretable machine learning, Rudin is a professor of computer science, electrical and computer engineering, and statistical science at Duke University."
Ilya Sutskever,M,gender-guesser,founder_ceo,68,1,25,5,37,"{""AI and machine learning"": 67, ""data and analytics"": 1}","Ilya Sutskever: Co-founder and Chief Scientist of OpenAI, contributing to advancements in generative models and reinforcement learning."
Sam Altman,M,llm-high,founder_ceo,193,14,61,24,94,"{""AI and machine learning"": 115, ""ICT"": 70, ""cloud and infrastructure"": 4, ""data and analytics"": 4}","Sam Altman: CEO of OpenAI, playing a significant role in the development and promotion of AI technologies."
